epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1371.07,0.36091,0.26407,0.8674,0.99947,1,0.995,0.95917,0.29911,0.19927,0.83613,0.0013862,0.0013862,0.0013862
64,1392.87,0.34326,0.2571,0.85817,0.99951,1,0.995,0.96631,0.29013,0.20038,0.83081,0.0013763,0.0013763,0.0013763
65,1414.74,0.34217,0.25353,0.85591,0.99951,1,0.995,0.96358,0.29745,0.1965,0.83394,0.0013664,0.0013664,0.0013664
66,1436.61,0.33935,0.25533,0.85734,0.99949,1,0.995,0.96489,0.28171,0.19597,0.8294,0.0013565,0.0013565,0.0013565
67,1458.8,0.35352,0.26176,0.8609,0.99947,1,0.995,0.9696,0.2868,0.19368,0.83257,0.0013466,0.0013466,0.0013466
68,1480.56,0.33828,0.25052,0.85899,0.99948,1,0.995,0.96399,0.29552,0.1989,0.83577,0.0013367,0.0013367,0.0013367
69,1502.38,0.34479,0.25267,0.85816,0.99943,1,0.995,0.96549,0.28217,0.19498,0.83131,0.0013268,0.0013268,0.0013268
70,1524.21,0.34959,0.25678,0.86991,0.9995,1,0.995,0.96605,0.26651,0.18423,0.82542,0.0013169,0.0013169,0.0013169
71,1545.9,0.34522,0.25454,0.86371,0.99946,1,0.995,0.96012,0.27662,0.19143,0.82972,0.001307,0.001307,0.001307
72,1567.51,0.34524,0.25835,0.86001,0.9995,1,0.995,0.96836,0.28291,0.18264,0.82962,0.0012971,0.0012971,0.0012971
73,1589.34,0.35159,0.25975,0.87359,0.99937,1,0.995,0.96673,0.28162,0.19355,0.82661,0.0012872,0.0012872,0.0012872
74,1611.21,0.34803,0.25348,0.86463,0.99947,1,0.995,0.96913,0.29467,0.19548,0.83218,0.0012773,0.0012773,0.0012773
75,1632.95,0.34793,0.25588,0.86501,0.99951,1,0.995,0.96792,0.28363,0.19317,0.82886,0.0012674,0.0012674,0.0012674
76,1654.7,0.34988,0.25636,0.86336,0.9995,1,0.995,0.97127,0.27149,0.18389,0.82142,0.0012575,0.0012575,0.0012575
77,1677.5,0.33943,0.24763,0.86278,0.99952,1,0.995,0.97194,0.2862,0.18618,0.82991,0.0012476,0.0012476,0.0012476
78,1700.31,0.3416,0.25467,0.85812,0.9995,1,0.995,0.96822,0.31122,0.19081,0.83295,0.0012377,0.0012377,0.0012377
79,1721.59,0.34152,0.25297,0.85485,0.99949,1,0.995,0.96901,0.29261,0.19249,0.83164,0.0012278,0.0012278,0.0012278
80,1743.21,0.33985,0.25043,0.86657,0.99946,1,0.995,0.97114,0.26443,0.18093,0.82356,0.0012179,0.0012179,0.0012179
81,1764.8,0.33502,0.24997,0.8575,0.99949,1,0.995,0.97831,0.27094,0.18648,0.82506,0.001208,0.001208,0.001208
82,1787,0.33171,0.24808,0.85406,0.99951,1,0.995,0.97274,0.297,0.18492,0.83318,0.0011981,0.0011981,0.0011981
83,1809.83,0.33735,0.24605,0.8586,0.99952,1,0.995,0.96658,0.27632,0.17933,0.826,0.0011882,0.0011882,0.0011882
84,1832.13,0.3367,0.24965,0.86704,0.99941,1,0.995,0.97244,0.28549,0.18737,0.82857,0.0011783,0.0011783,0.0011783
85,1854.78,0.33455,0.24417,0.84991,0.99952,1,0.995,0.97449,0.26447,0.17506,0.81843,0.0011684,0.0011684,0.0011684
86,1876.79,0.33028,0.2444,0.85541,0.99951,1,0.995,0.96734,0.26641,0.17596,0.8259,0.0011585,0.0011585,0.0011585
87,1899.38,0.32491,0.24477,0.85731,0.99951,1,0.995,0.97688,0.26615,0.18328,0.82139,0.0011486,0.0011486,0.0011486
88,1921.08,0.34762,0.25808,0.86842,0.9995,1,0.995,0.97151,0.30724,0.18926,0.83557,0.0011387,0.0011387,0.0011387
89,1942.81,0.3379,0.24685,0.85708,0.99949,1,0.995,0.97365,0.27963,0.17567,0.83027,0.0011288,0.0011288,0.0011288
90,1965.72,0.33134,0.24709,0.86363,0.99949,1,0.995,0.96674,0.26713,0.17827,0.81835,0.0011189,0.0011189,0.0011189
91,1988.45,0.34171,0.24237,0.85597,0.99952,1,0.995,0.97697,0.26695,0.16974,0.82513,0.001109,0.001109,0.001109
