epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8136.88,0.36495,0.25186,0.92477,0.99946,1,0.995,0.9731,0.30168,0.19956,0.95603,0.0012179,0.0012179,0.0012179
81,8237.65,0.3777,0.26278,0.93142,0.99939,1,0.995,0.96863,0.2936,0.20026,0.94032,0.001208,0.001208,0.001208
82,8338.46,0.36477,0.25243,0.92488,0.99941,1,0.995,0.97084,0.29827,0.19667,0.95222,0.0011981,0.0011981,0.0011981
83,8439.17,0.36609,0.25668,0.92523,0.99896,1,0.995,0.96504,0.3115,0.1994,0.95808,0.0011882,0.0011882,0.0011882
84,8539.67,0.36244,0.25435,0.93062,0.99942,1,0.995,0.97149,0.29876,0.19246,0.94704,0.0011783,0.0011783,0.0011783
85,8641,0.3515,0.24698,0.91595,0.99917,1,0.995,0.97667,0.29057,0.19934,0.94904,0.0011684,0.0011684,0.0011684
86,8741.54,0.35896,0.2548,0.92208,0.99931,1,0.995,0.96942,0.30586,0.20583,0.96336,0.0011585,0.0011585,0.0011585
87,8842.08,0.3575,0.25214,0.92584,0.99944,1,0.995,0.97349,0.2839,0.18875,0.92702,0.0011486,0.0011486,0.0011486
88,8942.87,0.38546,0.26521,0.94944,0.99947,1,0.995,0.97089,0.31156,0.19936,0.9631,0.0011387,0.0011387,0.0011387
89,9044.09,0.36945,0.25684,0.92422,0.99946,1,0.995,0.97241,0.3063,0.19189,0.95948,0.0011288,0.0011288,0.0011288
90,9145.54,0.36687,0.25553,0.92929,0.9994,1,0.995,0.96531,0.29068,0.18984,0.93828,0.0011189,0.0011189,0.0011189
91,9246.39,0.3689,0.24705,0.92073,0.99892,1,0.995,0.96838,0.28487,0.18612,0.92238,0.001109,0.001109,0.001109
92,9347.79,0.35993,0.24674,0.91436,0.99929,1,0.995,0.96905,0.29328,0.18848,0.95723,0.0010991,0.0010991,0.0010991
93,9449.42,0.36525,0.25159,0.92301,0.99934,1,0.995,0.97479,0.29248,0.18798,0.93669,0.0010892,0.0010892,0.0010892
94,9550.41,0.33814,0.2401,0.90798,0.99889,1,0.995,0.97724,0.29333,0.18599,0.94875,0.0010793,0.0010793,0.0010793
95,9651.76,0.36561,0.25217,0.92271,0.99938,1,0.995,0.97716,0.29813,0.1949,0.94268,0.0010694,0.0010694,0.0010694
96,9752.88,0.36284,0.24854,0.91942,0.99945,1,0.995,0.9748,0.28715,0.18947,0.93853,0.0010595,0.0010595,0.0010595
97,9853.77,0.36609,0.25396,0.92907,0.99939,1,0.995,0.96848,0.31009,0.19804,0.96137,0.0010496,0.0010496,0.0010496
98,9955.02,0.34929,0.24112,0.91304,0.99945,1,0.995,0.97303,0.28292,0.18915,0.92673,0.0010397,0.0010397,0.0010397
99,10055.9,0.34152,0.23875,0.91001,0.99945,1,0.995,0.96947,0.28938,0.19287,0.9417,0.0010298,0.0010298,0.0010298
100,10156.8,0.36331,0.24356,0.9165,0.99945,1,0.995,0.97385,0.29463,0.19232,0.95429,0.0010199,0.0010199,0.0010199
101,10257.6,0.35555,0.24439,0.91889,0.99939,1,0.995,0.97086,0.28053,0.1871,0.93384,0.00101,0.00101,0.00101
102,10359,0.34353,0.235,0.91807,0.99943,1,0.995,0.97111,0.28643,0.19698,0.93615,0.0010001,0.0010001,0.0010001
103,10460.4,0.34434,0.24184,0.90865,0.99947,1,0.995,0.97245,0.29077,0.19291,0.9503,0.0009902,0.0009902,0.0009902
104,10562.1,0.33796,0.23788,0.90725,0.99938,1,0.995,0.96965,0.28427,0.18619,0.93948,0.0009803,0.0009803,0.0009803
105,10663.6,0.36067,0.25163,0.9291,0.99936,1,0.995,0.96448,0.29699,0.19899,0.94553,0.0009704,0.0009704,0.0009704
106,10764.3,0.34491,0.24155,0.9106,0.99947,1,0.995,0.96061,0.31342,0.1974,0.95954,0.0009605,0.0009605,0.0009605
107,10865.3,0.33281,0.23142,0.90018,0.9995,1,0.995,0.97441,0.28653,0.18205,0.93427,0.0009506,0.0009506,0.0009506
108,10966.8,0.35559,0.24728,0.92441,0.99947,1,0.995,0.97479,0.28852,0.18721,0.94011,0.0009407,0.0009407,0.0009407
109,11068.2,0.3393,0.23774,0.90346,0.99948,1,0.995,0.97694,0.28179,0.17535,0.91725,0.0009308,0.0009308,0.0009308
110,11169.3,0.34261,0.2341,0.90309,0.99947,1,0.995,0.97761,0.29067,0.18876,0.93301,0.0009209,0.0009209,0.0009209
111,11270.5,0.33472,0.23121,0.8984,0.99948,1,0.995,0.9743,0.2924,0.18206,0.93845,0.000911,0.000911,0.000911
112,11371.4,0.34633,0.24113,0.91156,0.99946,1,0.995,0.97193,0.29171,0.18836,0.94543,0.0009011,0.0009011,0.0009011
113,11472.5,0.34677,0.23725,0.91409,0.99948,1,0.995,0.97689,0.28156,0.18055,0.93622,0.0008912,0.0008912,0.0008912
114,11573.3,0.33807,0.23121,0.90546,0.99949,1,0.995,0.97881,0.27711,0.1773,0.93088,0.0008813,0.0008813,0.0008813
115,11674.6,0.33465,0.2325,0.91306,0.99947,1,0.995,0.97574,0.28535,0.19063,0.94445,0.0008714,0.0008714,0.0008714
116,11776.5,0.34233,0.23892,0.91336,0.99947,1,0.995,0.97497,0.2672,0.18603,0.92038,0.0008615,0.0008615,0.0008615
117,11877.1,0.33905,0.23671,0.90634,0.99946,1,0.995,0.97277,0.26762,0.17845,0.92329,0.0008516,0.0008516,0.0008516
118,11977.9,0.33445,0.2318,0.90585,0.99947,1,0.995,0.97663,0.27404,0.18261,0.92505,0.0008417,0.0008417,0.0008417
119,12079,0.32836,0.23105,0.90459,0.99944,1,0.995,0.97482,0.27322,0.18664,0.92484,0.0008318,0.0008318,0.0008318
120,12180.4,0.33837,0.22958,0.9079,0.99939,1,0.995,0.97687,0.26371,0.17935,0.92034,0.0008219,0.0008219,0.0008219
121,12281.8,0.3297,0.22948,0.90461,0.99945,1,0.995,0.97876,0.27309,0.17697,0.92519,0.000812,0.000812,0.000812
122,12382.4,0.33307,0.23097,0.90785,0.99947,1,0.995,0.97921,0.26839,0.18116,0.91606,0.0008021,0.0008021,0.0008021
123,12484.4,0.33803,0.233,0.90926,0.99905,1,0.995,0.98027,0.26724,0.18079,0.91698,0.0007922,0.0007922,0.0007922
124,12585.7,0.34916,0.23508,0.90441,0.99894,1,0.995,0.97316,0.2834,0.18121,0.93172,0.0007823,0.0007823,0.0007823
125,12686.7,0.33399,0.23192,0.90239,0.99946,1,0.995,0.97885,0.27376,0.18077,0.92096,0.0007724,0.0007724,0.0007724
126,12788.1,0.3243,0.22514,0.90517,0.99928,1,0.995,0.97776,0.26592,0.17759,0.91286,0.0007625,0.0007625,0.0007625
