epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,8719.37,0.39069,0.26192,0.95037,0.99947,1,0.995,0.96535,0.31654,0.21597,0.95061,0.000713,0.000713,0.000713
67,8850.47,0.39595,0.26693,0.94576,0.99946,1,0.995,0.95523,0.33425,0.21131,0.95823,0.0006932,0.0006932,0.0006932
68,8981.86,0.37233,0.25887,0.94191,0.99949,1,0.995,0.96498,0.30342,0.20829,0.94211,0.0006734,0.0006734,0.0006734
69,9113.84,0.3822,0.25161,0.94099,0.99942,1,0.995,0.96217,0.30963,0.20098,0.94011,0.0006536,0.0006536,0.0006536
70,9245.04,0.37916,0.25378,0.9453,0.99946,1,0.995,0.95896,0.30646,0.19987,0.93926,0.0006338,0.0006338,0.0006338
71,9377.13,0.38183,0.25354,0.94625,0.99951,1,0.995,0.96066,0.31976,0.20732,0.94619,0.000614,0.000614,0.000614
72,9508.83,0.38426,0.2581,0.94618,0.99947,1,0.995,0.96367,0.31444,0.20593,0.94026,0.0005942,0.0005942,0.0005942
73,9640.89,0.38817,0.25685,0.95097,0.99949,1,0.995,0.96393,0.29005,0.19696,0.91773,0.0005744,0.0005744,0.0005744
74,9773.56,0.37745,0.2505,0.94212,0.9995,1,0.995,0.96445,0.29544,0.19683,0.92383,0.0005546,0.0005546,0.0005546
75,9905.94,0.36871,0.24795,0.93928,0.99946,1,0.995,0.97068,0.29147,0.19805,0.92271,0.0005348,0.0005348,0.0005348
76,10037.8,0.38386,0.25132,0.94206,0.99948,1,0.995,0.96518,0.30539,0.19827,0.92552,0.000515,0.000515,0.000515
77,10169.2,0.37243,0.24986,0.94506,0.99937,1,0.995,0.97096,0.30874,0.19908,0.94563,0.0004952,0.0004952,0.0004952
78,10301.4,0.3761,0.24734,0.94342,0.99959,1,0.995,0.96153,0.32328,0.20298,0.94149,0.0004754,0.0004754,0.0004754
79,10433.6,0.36799,0.24487,0.92846,0.99945,1,0.995,0.96451,0.30193,0.19472,0.92941,0.0004556,0.0004556,0.0004556
80,10565.9,0.35998,0.23876,0.92605,0.99948,1,0.995,0.97118,0.29633,0.19019,0.93298,0.0004358,0.0004358,0.0004358
81,10697.7,0.36796,0.24582,0.93305,0.99947,1,0.995,0.96733,0.29719,0.19539,0.9271,0.000416,0.000416,0.000416
82,10830.2,0.35909,0.23701,0.92617,0.99947,1,0.995,0.96262,0.30851,0.1919,0.94219,0.0003962,0.0003962,0.0003962
83,10962.7,0.36097,0.23973,0.92694,0.99948,1,0.995,0.96875,0.29704,0.18184,0.92143,0.0003764,0.0003764,0.0003764
84,11095,0.35315,0.23744,0.9309,0.99945,1,0.995,0.96525,0.29275,0.1873,0.92396,0.0003566,0.0003566,0.0003566
85,11227.6,0.34755,0.23427,0.92069,0.99947,1,0.995,0.96281,0.29291,0.19548,0.92479,0.0003368,0.0003368,0.0003368
86,11359.5,0.34821,0.23466,0.92356,0.99921,1,0.995,0.95892,0.2947,0.18958,0.91859,0.000317,0.000317,0.000317
87,11492.2,0.35197,0.23634,0.92906,0.99948,1,0.995,0.9629,0.28295,0.18512,0.91181,0.0002972,0.0002972,0.0002972
88,11624.4,0.37018,0.24449,0.94596,0.99948,1,0.995,0.97024,0.29054,0.18155,0.91633,0.0002774,0.0002774,0.0002774
89,11757,0.34569,0.22812,0.92089,0.99949,1,0.995,0.9672,0.28603,0.17656,0.91839,0.0002576,0.0002576,0.0002576
90,11888.5,0.34817,0.2325,0.92641,0.99949,1,0.995,0.96128,0.28059,0.17935,0.90887,0.0002378,0.0002378,0.0002378
91,12017.7,0.2771,0.1889,0.87414,0.99941,1,0.995,0.95914,0.28773,0.18662,0.9101,0.000218,0.000218,0.000218
92,12146.4,0.2756,0.18524,0.87394,0.99944,1,0.995,0.96588,0.2838,0.18596,0.91036,0.0001982,0.0001982,0.0001982
93,12275.6,0.26502,0.18073,0.86778,0.99935,1,0.995,0.96425,0.27927,0.17864,0.90229,0.0001784,0.0001784,0.0001784
94,12404.9,0.26624,0.1795,0.85729,0.99936,1,0.995,0.96752,0.28677,0.18447,0.91348,0.0001586,0.0001586,0.0001586
95,12534.9,0.25896,0.17413,0.86286,0.99927,1,0.995,0.96647,0.27784,0.17278,0.90458,0.0001388,0.0001388,0.0001388
96,12664.1,0.26149,0.1756,0.85063,0.99934,1,0.995,0.97036,0.27596,0.17538,0.9,0.000119,0.000119,0.000119
97,12793.3,0.25377,0.17179,0.85483,0.99932,1,0.995,0.969,0.27045,0.17643,0.89726,9.92e-05,9.92e-05,9.92e-05
98,12922,0.26142,0.17283,0.84954,0.9994,1,0.995,0.96805,0.27487,0.17175,0.89884,7.94e-05,7.94e-05,7.94e-05
99,13050.9,0.25407,0.16884,0.85007,0.99942,1,0.995,0.97046,0.2694,0.16786,0.89637,5.96e-05,5.96e-05,5.96e-05
100,13179.7,0.2498,0.16696,0.8538,0.9994,1,0.995,0.96687,0.27657,0.1704,0.90174,3.98e-05,3.98e-05,3.98e-05
